country,country3,HDIrank,HDIindex,HDI_cat,SPI,happiness,genderequality_index,birth_MF,sixty_MF,GDP_USD_2018,hoursworked,incomeineq,infantmort,oophcspend,tertiaryed
Portugal,PRT,41,0.8447151672085784,Very high,84.66,5.446637153625488,0.73689476609780202,81.5,24.5,205184e6,1865,0.336,3.2,772.242,23.847389
Puerto Rico,PRI,NA,NA,NA,NA,NA,NA,NA,NA,105035e6,NA,NA,NA,NA,NA
Qatar,QAT,37,0.8548970970597372,Very high,70.24,NA,0.64257096669606595,78.1,20.9,152452e6,NA,NA,NA,NA,NA
Romania,ROU,52,0.806921214299936,Very high,74.05,5.968870639801025,0.69015241455021703,75.2,20.1,187806e6,NA,NA,NA,NA,NA
Russia,RUS,49,0.8147656495518454,Very high,68.94,5.854945659637451,0.690857736593115,71.9,19.4,128473e7,1974,NA,6,528.216,53.056892
Rwanda,RWA,158,0.5203023732923725,Low,52.26,3.3329899311065674,0.799810858344565,68,18.5,8475681533,NA,NA,NA,NA,NA
Samoa,WSM,104,0.7107872592048272,High,NA,NA,NA,75.1,20.1,786356314.8,NA,NA,NA,NA,NA
San Marino,SMR,NA,NA,NA,NA,NA,NA,NA,NA,1590707965,NA,NA,NA,NA,NA
São Tomé & Príncipe,STP,NA,NA,NA,59.78,NA,NA,NA,NA,354238109.3,NA,NA,NA,NA,NA
Saudi Arabia,SAU,39,0.8539633803400953,Very high,64.15,6.473921298980713,0.58287128659882004,74.8,18.7,644936e6,NA,NA,NA,NA,NA
Senegal,SEN,164,0.4987048593850021,Low,54.76,4.594533920288086,0.68512289373041402,66.8,16.9,14683747154,NA,NA,NA,NA,NA
Serbia,SRB,67,0.7854727479931904,High,71.49,5.7527546882629395,0.72002282494726699,76.3,19.8,38299854688,NA,NA,NA,NA,NA
Seychelles,SYC,62,0.7931018708434019,High,NA,NA,NA,73.3,19.6,1425929444,NA,NA,NA,NA,NA
Sierra Leone,SLE,184,0.41348796893971784,Low,42.15,4.732953071594238,NA,53.1,13.3,3556036535,NA,NA,NA,NA,NA
Singapore,SGP,9,0.930104591364359,Very high,84.08,6.033480644226074,0.71158343910004096,82.9,25,309764e6,NA,NA,NA,NA,NA
Slovakia,SVK,38,0.8529800895385142,Very high,79.83,5.993163108825684,0.678731712050063,77.4,21.3,89768598023,1740,0.251,5.4,386.957,21.979519
Slovenia,SVN,25,0.8935430504652823,Very high,84.6,5.936821460723877,0.78552388971152098,80.9,23.7,44708598649,1666.9,0.25,2,332.592,30.735788
Solomon Islands,SLB,152,0.5429098901522234,Low,47.2,NA,NA,71.1,17.7,1232699140,NA,NA,NA,NA,NA
